Regional unit:;Name:;Address;Phone:;Fax:;Email:;Website:
CELJE;DOM OB SAVINJI CELJE;Jurčičeva 6, 3000 Celje;03 427 95 00;03 427 95 42;dom.celje(at)siol.net;http://www.ssz-slo.si/slo/main.asp?id=52F3547E
CELJE;THERMANA D. D., DOM STAREJŠIH LAŠKO - KONCESIJA ;Zdraviliška cesta 20, 3270 Laško;03 734 56 00;03 734 52 47;dom.starejsih(at)thermana.si;http://www.thermana.si/oskrba-starejsih/dom-starejsih
CELJE;DOM UPOKOJENCEV POLZELA;Pot v Šenek 7, 3313 Polzela;03 703 34 00;03 572 00 23;info(at)dupolzela.si;http://www.dupolzela.si/ 
CELJE;»LAMBRECHTOV DOM« SLOVENSKE KONJICE;Šolska ulica 4, 3210 Slovenske Konjice;03 757 42 00;03 757 41 10;info(at)lambrechtov-dom.si;http://www.lambrechtov-dom.si/
CELJE;DOM STAREJŠIH ŠENTJUR;Svetinova ulica 1, 3230 Šentjur pri Celju;03 746 17 00;03 746 18 19;info(at)dom-sentjur.si;http://www.dom-starejsih-sentjur.si/ 
CELJE;DOM UPOKOJENCEV ŠMARJE PRI JELŠAH;Rakeževa ulica 8, 3240 Šmarje pri Jelšah;03 817 14 60, 03 817 14 00;03 817 14 20;tajnistvo(at)dusmarje.si;http://dusmarje.si/
CELJE;DOM NINE POKORN GRMOVJE;Pernovo 4a, 3310 Žalec;03 713 29 00;03 713 29 10;info(at)dnpg.si  ;http://www.dnpg.si/
CELJE;CONTRACO STORITVE D. O. O., ŠPESOV DOM VOJNIK - KONCESIJA ;Cesta v Tomaž 6a, 3212 Vojnik;03 780 42 00;03 780 42 20;contraco@siol.net, contraco@contraco.si  ;http://www.dom-vojnik.si/
CELJE;ZAVOD SV. RAFAELA VRANSKO – KONCESIJA;Vransko 144a, 3305 Vransko;03 703 42 20;03 703 42 21;info(at)nasdom-vransko.com ;http://www.nasdom-vransko.com/
CELJE;COMETT DOMOVI D. O. O., PEGAZOV DOM – KONCESIJA;Celjska cesta 11, 3250 Rogaška Slatina;03 818 55 00, 03 818 55 01;03 818 55 11;info(at)pegazov-dom.si ;http://www.pegazov-dom.si/
CELJE;DOM SV. JOŽEF - KONCESIJA;Plečnikova 29, 3000 Celje;03 548 15 96;;info(at)jozef.si;http://www.jozef.si/
CELJE;DOM LIPA D. O. O.- KONCESIJA;Cesta kozjanskega odreda 3, 3220 Štore;08 200 92 00;03 780 20 40;info(at)domlipa.si;http://www.domlipa.si/
KOPER;OBALNI DOM UPOKOJENCEV KOPER, Casa costiera del pensionato Capodistria;Krožna cesta 5, 6000 Koper;05 665 96 00;05 628 51 02;info(at)odu.si;http://www.odu-koper.si/  
KOPER;DOM STAREJŠIH OBČANOV ILIRSKA BISTRICA;Kidričeva 15, 6250 Ilirska Bistrica;05 714 08 00;05 714 08 39;info(at)dso-ilb.si;http://www.dso-ilb.si/ 
KOPER;DOM UPOKOJENCEV IZOLA, Casa del pensionato Isola;Kosovelova 22, 6310 Izola;05 610 02 00, 05 610 02 12, 05 610 02 20;05 641 52 11;duizola@siol.net;http://www.ssz-slo.si/slo/main.asp?id=138A85FF
KOPER;DOM UPOKOJENCEV POSTOJNA;Rožna ulica 10, 6230 Postojna;05 700 11 00 ;05 700 11 16;dupo@siol.net;www.du-po.si
KOPER;TALITA KUMZAVOD – KONCESIJA;Ljubljanska cesta 28, 6320 Postojna;05 620 24 00;05 620 24 01;info@talitakum.si;www.talitakum.si
KOPER;DOM UPOKOJENCEV SEŽANA;Ulica Ivana Turšiča 6, 6210 Sežana;05 731 17 00, 05 731 17 04;05 731 17 01;info(at)dus.si;http://www.dus.si/
KOPER;SOCIALNO-VARSTVENI ZAVOD DUTOVLJE;Dutovlje 128, 6221 Dutovlje;05 708 41 00, 041 398 919, 041 613 784;05 708 41 15, 05 764 01 14;info(at)svz-dutovlje.si ;http://www.svz-dutovlje.si/
KOPER;DOM DANICA, D. O. O. - dovoljenje za delo za varstvo starejših v oskrbnem domu;Gažon 39, 6274 Šmarje;05 656 01 59, 05 656 01 60;05 656 04 36 ;domdanica(at)tiscali.it ;http://www.domdanica.si/
KOPER;CENTER ZA STAREJŠE OBČANE LUCIJA, D. O. O. – KONCESIJA;Seča 197b, 6320 Portorož;08 200 30 00 ;08 200 30 90;info(at)center-lucija.si;www.center-lucija.si 
KOPER;DOM UPOKOJENCEV PTUJ - Enota KOPER;Oljčna pot 65, 6000 Koper;05 620 88 00;;domkoper@domptuj.si;http://www.dom-upokojencev.si/o-nas/nase-enote/koper/
KRANJ;DOM UPOKOJENCEV KRANJ;Cesta 1. maja 59, 4000 Kranj;04 280 13 00;04 233 13 32;kranj(at)ssz-slo.si;http://www.du-kranj.si/
KRANJ;DOM UPOKOJENCEV DR. FRANCETA BERGELJA JESENICE;Ulica Staneta Bokala 4, 4270 Jesenice;04 583 41 00;04 583 41 20;dufbj(at)siol.net;http://www.dom-jesenice.si/
KRANJ;DOM STAREJŠIH OBČANOV PREDDVOR;Potoče 2, 4205 Preddvor;04 275 20 00;04 255 11 10;dom.preddvor(at)dso-preddvor.si;http://www.dso-preddvor.si/
KRANJ;DOM DR. JANKA BENEDIKA RADOVLJICA;Šercerjeva 35, 4240 Radovljica;04 537 50 00, 04 537 51 52;04 537 51 70;radovljica(at)ssz-slo.si;http://www.dom-drjankabenedika.si/
KRANJ;DOM PETRA UZARJA TRŽIČ;Bistrica, Ročevnica 58, 4290 Tržič;04 598 03 00;04 598 03 00;dpu-trzic(at)siol.net;http://www.dputrzic.si/
KRANJ;CENTER SLEPIH, SLABOVIDNIH IN STAREJŠIH ŠKOFJA LOKA;Stara Loka 31, 4220 Škofja Loka;04 511 60 00;04 511 60 00 ; info(at)css-sl.sistanka.vauh(at)css-slo.si;http://www.css-sl.si/
KRANJ;ZAVOD SV. MARTINA – KONCESIJA;Srednja vas 33a, 4267 Srednja vas v Bohinju ;04 577 84 10, 031 847 530;;zsm(at)zsm.si;http://www.zavodsvetegamartina.si/
KRANJ;COMETT DOMOVI D. O. O. Podružnica Dom Viharnik - KONCESIJA;Čičare 14, 4280 Kranjska Gora;04 583 77 00;;recepcija(at)dom-viharnik.si;
KRANJ;SOCIALNO VARSTVENI ZAVOD TABER – KONCESIJA;Šmartno 70, 4207 Cerklje na Gorenjskem;04 20 27 600;; info(at)domtaber.si  ;
KRŠKO;DOM STAREJŠIH OBČANOV KRŠKO;Kovinarska 13, 8270 Krško;07 488 18 50;07 488 18 80;krsko(at)ssz-slo.si;http://www.dsokrsko.si/
KRŠKO;DOM UPOKOJENCEV IN OSKRBOVANCEV IMPOLJCA ;Arto 13, Studenec, 8290 Sevnica;07 816 14 00, 07 814 16 50;07 814 16 43;duo.impoljca(at)duo-impoljca.si;http://www.impoljca.si/
KRŠKO;DOM UPOKOJENCEV BREŽICE;Prešernova 13, 8250 Brežice;07 499 17 00;07 499 17 11 ;duo.brezice(at)duo-impoljca.si;
KRŠKO;DOM UPOKOJENCEV SEVNICA;Trg svobode 17, 8290 Sevnica;07 816 07 40;07 814 17 06;duo.sevnica(at)duo-impoljca.si;
